name_norm,latitude,longitude,country,is_city,is_main_station,is_airport
Lunel,43.679392,4.131086,France,FAUX,VRAI,FAUX
Moirans,45.322185,5.581915,France,FAUX,VRAI,FAUX
Dole Ville,47.096084,5.488105,France,FAUX,VRAI,FAUX
Reze-Pont-Rousseau,47.1932425,-1.5495445,France,FAUX,VRAI,FAUX
Angers St-Laud,47.464647,-0.55682,France,FAUX,VRAI,FAUX
Saumur,47.269,-0.07136,France,FAUX,VRAI,FAUX
Reims Ville,49.258978,4.024435,France,FAUX,VRAI,FAUX
Louverne,48.1088564,-0.7144109,France,FAUX,VRAI,FAUX
Mayenne,48.3064552166399,-0.6205880641937256,France,FAUX,VRAI,FAUX
Arnage,47.9285663,0.1898826,France,FAUX,VRAI,FAUX
Carnac,47.584558972342386,-3.0826091766357417,France,FAUX,VRAI,FAUX
St-Pierre-Quiberon,47.5210574,-3.138905,France,FAUX,VRAI,FAUX
Metz,49.109545,6.1765930000000004,France,FAUX,VRAI,FAUX
Forbach,49.1892278,6.9013184,France,FAUX,VRAI,FAUX
Sarreguemines,49.1073357,7.0686398,France,FAUX,VRAI,FAUX
Lille-Flandres,50.636577,3.06987,France,FAUX,VRAI,FAUX
Tourcoing,50.71683,3.16804,France,FAUX,VRAI,FAUX
Nomain,50.5023744,3.2063499,France,FAUX,VRAI,FAUX
Croix-Wasquehal,50.6785574,3.1380315,France,FAUX,VRAI,FAUX
Jeumont,50.29606,4.08645,France,FAUX,VRAI,FAUX
Bellegarde-sur-Valserine,46.109425,5.823483,France,FAUX,VRAI,FAUX
Calais Ville,50.952613,1.848185,France,FAUX,VRAI,FAUX
Boulogne-sur-Mer Ville,50.7157,1.60964,France,FAUX,VRAI,FAUX
Pau,43.291762,-0.369626,France,FAUX,VRAI,FAUX
Strasbourg,48.584967,7.734584,France,FAUX,VRAI,FAUX
Mertzwiller,48.872013,7.6781895,France,FAUX,VRAI,FAUX
Colmar,48.073201,7.346967,France,FAUX,VRAI,FAUX
St-Louis,47.5906094,7.5559882,France,FAUX,VRAI,FAUX
Thann,47.8088208,7.1069795,France,FAUX,VRAI,FAUX
Aspach-le-Haut,47.769396,7.142379,France,FAUX,VRAI,FAUX
Avignon Centre,43.9419,4.805281,France,FAUX,VRAI,FAUX
Eu,50.0541988,1.416837,France,FAUX,VRAI,FAUX
Harfleur,49.5136336,0.1989828,France,FAUX,VRAI,FAUX
Montivilliers,49.5429758,0.189426,France,FAUX,VRAI,FAUX
Dieppe,49.921788,1.081133,France,FAUX,VRAI,FAUX
Peronne Centre,49.934997,2.938987,France,FAUX,VRAI,FAUX
Albi Ville,43.92238,2.137958,France,FAUX,VRAI,FAUX
Orleans Centre,47.90796,1.904666,France,FAUX,VRAI,FAUX
Fontenay-le-Comte,46.46785957735252,-0.809592604637146,France,FAUX,VRAI,FAUX
St-Hilaire-de-Riez,46.7166736,-1.9496838,France,FAUX,VRAI,FAUX
Tours,47.389781,0.693703,France,FAUX,VRAI,FAUX
Limoges Benedictins,45.836089,1.267356,France,FAUX,VRAI,FAUX
Argenton-sur-Creuse,46.592248,1.518305,France,FAUX,VRAI,FAUX
Roye,49.69805004945369,2.789722681045532,France,FAUX,VRAI,FAUX
Versailles-Chantiers,48.7958264,2.1358827,France,FAUX,VRAI,FAUX
Auxon Eglise,48.092235,3.923863,France,FAUX,VRAI,FAUX
Lexy,49.5,5.733333,France,FAUX,VRAI,FAUX
Romilly-sur-Seine,48.514433,3.728887,France,FAUX,VRAI,FAUX
Nogent-sur-Seine,48.49783878,3.49372888,France,FAUX,VRAI,FAUX
Vendeuvre,48.2400686,4.4672135,France,FAUX,VRAI,FAUX
Bar-sur-Aube,48.2385399,4.7066708,France,FAUX,VRAI,FAUX
Bologne,48.1986877,5.1342228,France,FAUX,VRAI,FAUX
Vignory,48.2701366,5.1241594,France,FAUX,VRAI,FAUX
Gudmont,48.3382279,5.1408271,France,FAUX,VRAI,FAUX
Mirecourt,48.299243,6.129651,France,FAUX,VRAI,FAUX
Bagnoles-de-l'Orne Office de Tourisme,48.55437,-0.410609,France,FAUX,VRAI,FAUX
Carignan,49.6285736,5.1684754,France,FAUX,VRAI,FAUX
Margut Fromy,49.590323,5.254995,France,FAUX,VRAI,FAUX
Vitry-le-Francois,48.718142,4.587581,France,FAUX,VRAI,FAUX
St-Dizier,48.642404,4.947855,France,FAUX,VRAI,FAUX
Fronville,48.4001829,5.1564405,France,FAUX,VRAI,FAUX
Eurville,48.5828713,5.0449583,France,FAUX,VRAI,FAUX
Jussey,47.816667,5.9,France,FAUX,VRAI,FAUX
Barberey Route de Mery,48.35,4.016667,France,FAUX,VRAI,FAUX
Kuntzig,49.349918,6.2345596,France,FAUX,VRAI,FAUX
Hombourg-Budange,49.2823957,6.3507488,France,FAUX,VRAI,FAUX
Bordeaux St-Jean,44.825873,-0.556697,France,FAUX,VRAI,FAUX
Apach,49.4439732,6.3500923,France,FAUX,VRAI,FAUX
Morhange,48.9366239,6.6590266,France,FAUX,VRAI,FAUX
Bouzonville,49.2899739,6.5293736000000004,France,FAUX,VRAI,FAUX
Farebersviller,49.1181603,6.8618926,France,FAUX,VRAI,FAUX
Farschviller,49.0878773,6.9080815,France,FAUX,VRAI,FAUX
Rohrbach-les-Bitche,49.05535,7.26433,France,FAUX,VRAI,FAUX
Enchenberg,49.01614,7.33372,France,FAUX,VRAI,FAUX
Bitche,49.04838,7.4321,France,FAUX,VRAI,FAUX
Montmedy,49.5228775,5.3716718,France,FAUX,VRAI,FAUX
Cons-la-Grandville,49.483333,5.7,France,FAUX,VRAI,FAUX
Reichshoffen Ville,48.9310582,7.658132,France,FAUX,VRAI,FAUX
Philippsbourg,48.983333,7.566667,France,FAUX,VRAI,FAUX
Wissembourg,49.0318895,7.9501435,France,FAUX,VRAI,FAUX
